i,solution,initial,timeDiff,averageTime,seed
seed,1,1105911639
1,"[9, 37, 52, 59, 91, 72, 94, 54, 16, 82, 36, 44, 6, 62, 28, 18, 69, 55, 95, 7, 38, 22, 96, 45, 87, 5, 70, 29, 32, 64, 90, 17, 19, 33, 1, 74, 8, 77, 68, 60, 88, 78, 73, 49, 23, 41, 61, 57, 31, 34, 66, 12, 79, 0, 97, 67, 24, 98, 81, 83, 14, 86, 39, 27, 71, 58, 10, 43, 20, 15, 11, 2, 85, 92, 4, 50, 21, 26, 89, 84, 46, 80, 99, 65, 3, 47, 51, 30, 48, 13, 40, 42, 76, 63, 75, 93, 25, 53, 56, 35]","[78, 92, 27, 91, 26, 87, 82, 66, 51, 73, 98, 76, 99, 47, 54, 24, 50, 94, 30, 8, 81, 19, 85, 10, 23, 88, 89, 97, 68, 2, 52, 45, 31, 57, 38, 5, 93, 44, 0, 55, 49, 72, 37, 33, 56, 13, 22, 83, 6, 1, 86, 53, 9, 15, 84, 60, 64, 35, 70, 46, 4, 14, 58, 25, 41, 18, 80, 96, 42, 32, 65, 69, 79, 40, 28, 21, 74, 36, 77, 3, 59, 7, 95, 62, 67, 11, 29, 71, 39, 12, 16, 63, 34, 43, 75, 61, 17, 90, 20, 48]",10.786,10.786,1105911639
seed,2,1218305356
2,"[32, 90, 36, 59, 17, 54, 47, 64, 41, 85, 97, 46, 42, 14, 91, 86, 8, 48, 56, 67, 80, 99, 58, 10, 26, 45, 40, 34, 16, 44, 93, 5, 83, 18, 38, 77, 33, 65, 60, 1, 92, 4, 61, 88, 3, 51, 21, 29, 94, 6, 27, 95, 52, 25, 9, 98, 68, 78, 76, 57, 28, 7, 20, 89, 69, 43, 13, 70, 62, 53, 81, 79, 11, 2, 19, 84, 72, 50, 71, 96, 12, 37, 15, 23, 63, 55, 24, 82, 74, 39, 66, 35, 75, 73, 31, 0, 49, 22, 87, 30]","[47, 8, 53, 76, 7, 45, 72, 74, 2, 6, 1, 46, 93, 52, 22, 30, 88, 54, 64, 61, 87, 14, 57, 92, 0, 60, 48, 73, 77, 95, 19, 40, 11, 97, 28, 71, 9, 4, 37, 13, 98, 89, 94, 83, 49, 50, 17, 31, 55, 62, 20, 67, 78, 44, 63, 21, 90, 15, 16, 84, 80, 85, 86, 82, 36, 12, 24, 96, 10, 27, 43, 56, 38, 58, 35, 34, 3, 68, 91, 26, 66, 18, 39, 33, 5, 75, 42, 69, 25, 59, 32, 23, 51, 70, 65, 81, 99, 29, 41, 79]",14.55,12.668,1218305356
seed,3,847760957
3,"[23, 44, 55, 45, 22, 7, 75, 11, 43, 97, 87, 61, 1, 57, 6, 95, 98, 26, 19, 46, 8, 37, 12, 29, 69, 4, 59, 65, 54, 83, 49, 92, 56, 27, 73, 67, 82, 10, 94, 34, 14, 90, 35, 48, 24, 16, 58, 78, 89, 77, 3, 99, 88, 52, 13, 66, 40, 71, 28, 80, 85, 47, 9, 93, 84, 33, 76, 50, 31, 91, 68, 32, 15, 81, 2, 60, 18, 42, 38, 51, 21, 39, 64, 86, 5, 72, 41, 62, 79, 96, 25, 53, 70, 20, 17, 0, 63, 36, 74, 30]","[82, 91, 7, 19, 23, 85, 62, 28, 13, 1, 2, 95, 81, 33, 45, 92, 37, 16, 76, 31, 18, 47, 14, 60, 54, 8, 25, 55, 44, 49, 71, 43, 32, 10, 52, 67, 6, 4, 97, 90, 99, 3, 39, 22, 66, 79, 93, 84, 48, 50, 12, 74, 80, 86, 26, 77, 27, 56, 21, 88, 70, 36, 0, 83, 69, 64, 38, 68, 29, 94, 63, 30, 65, 89, 57, 78, 42, 75, 11, 5, 46, 17, 35, 96, 87, 24, 53, 9, 98, 41, 51, 20, 40, 34, 59, 73, 61, 72, 58, 15]",13.649,12.995,847760957
seed,4,1332968724
4,"[36, 57, 1, 73, 13, 23, 56, 8, 98, 90, 32, 39, 20, 53, 40, 22, 54, 64, 95, 92, 68, 9, 47, 60, 19, 76, 78, 37, 45, 0, 26, 24, 75, 72, 94, 10, 50, 35, 2, 70, 99, 82, 18, 28, 46, 42, 69, 14, 97, 61, 71, 85, 43, 6, 58, 88, 86, 51, 21, 16, 84, 17, 67, 11, 91, 27, 66, 96, 49, 55, 81, 25, 87, 89, 80, 62, 59, 5, 44, 48, 93, 3, 74, 15, 30, 63, 33, 29, 38, 4, 7, 12, 41, 83, 31, 65, 34, 52, 77, 79]","[71, 5, 95, 26, 83, 77, 8, 65, 82, 7, 51, 52, 41, 13, 57, 79, 48, 62, 17, 25, 84, 93, 44, 72, 22, 56, 6, 86, 15, 24, 45, 85, 53, 28, 21, 9, 94, 96, 76, 36, 37, 1, 88, 73, 87, 61, 90, 11, 30, 16, 2, 34, 10, 99, 40, 49, 59, 58, 35, 64, 63, 91, 55, 12, 98, 46, 19, 74, 33, 89, 54, 69, 27, 68, 70, 14, 80, 43, 66, 31, 47, 20, 4, 78, 18, 92, 29, 32, 75, 67, 0, 38, 50, 81, 42, 39, 60, 97, 23, 3]",18.29,14.31875,1332968724
seed,5,1143737786
5,"[43, 29, 21, 14, 98, 86, 62, 64, 81, 60, 41, 88, 37, 50, 22, 79, 23, 97, 40, 12, 46, 75, 18, 52, 38, 16, 2, 74, 72, 87, 95, 55, 85, 27, 19, 71, 48, 67, 44, 20, 99, 91, 63, 83, 11, 5, 47, 9, 82, 84, 28, 78, 35, 17, 93, 68, 25, 0, 15, 54, 7, 58, 36, 13, 39, 57, 76, 30, 66, 42, 4, 1, 56, 96, 89, 92, 65, 59, 77, 6, 3, 26, 33, 70, 8, 24, 90, 73, 32, 69, 80, 94, 53, 31, 49, 51, 61, 34, 10, 45]","[43, 5, 6, 14, 98, 86, 65, 64, 74, 53, 24, 88, 87, 68, 22, 57, 50, 75, 63, 12, 46, 48, 18, 79, 38, 16, 2, 72, 90, 52, 62, 55, 28, 96, 19, 71, 32, 67, 10, 7, 99, 93, 27, 83, 20, 89, 47, 9, 82, 34, 60, 81, 40, 17, 11, 95, 44, 0, 15, 54, 78, 58, 36, 13, 39, 21, 37, 30, 66, 42, 25, 1, 56, 26, 70, 92, 23, 97, 3, 29, 85, 76, 33, 84, 8, 41, 80, 73, 35, 69, 59, 94, 91, 31, 49, 51, 61, 4, 77, 45]",3.392,12.1334,1143737786
